Date,City,Customer type,Gender,Product line,Quantity,Tax 5%,Total,Payment,gross margin percentage,gross income,Rating,Hours,month,Days
2019-01-05,Yangon,Member,Female,Health and beauty,7,26.14,548.97,Ewallet,4.76,26.14,9.1,12-15 PM,January,week1
2019-03-08,Naypyitaw,Normal,Female,Electronic accessories,5,3.82,80.22,Cash,4.76,3.82,9.6,9-12 AM,March,week2
2019-03-03,Yangon,Normal,Male,Home and lifestyle,7,16.22,340.53,Credit card,4.76,16.22,7.4,12-15 PM,March,week1
2019-01-27,Yangon,Member,Male,Health and beauty,8,23.29,489.05,Ewallet,4.76,23.29,8.4,18-21 PM,January,week4
2019-02-08,Yangon,Normal,Male,Sports and travel,7,30.21,634.38,Ewallet,4.76,30.21,5.3,9-12 AM,February,week2
2019-03-25,Naypyitaw,Normal,Male,Electronic accessories,7,29.89,627.62,Ewallet,4.76,29.89,4.1,15-18 PM,March,week4
2019-02-25,Yangon,Member,Female,Electronic accessories,6,20.65,433.69,Ewallet,4.76,20.65,5.8,12-15 PM,February,week4
2019-02-24,Naypyitaw,Normal,Female,Home and lifestyle,10,36.78,772.38,Ewallet,4.76,36.78,8.0,9-12 AM,February,week4
2019-01-10,Yangon,Member,Female,Health and beauty,2,3.63,76.15,Credit card,4.76,3.63,7.2,15-18 PM,January,week2
2019-02-20,Mandalay,Member,Female,Food and beverages,3,8.23,172.75,Credit card,4.76,8.23,5.9,12-15 PM,February,week3
2019-02-06,Mandalay,Member,Female,Fashion accessories,4,2.9,60.82,Ewallet,4.76,2.9,4.5,15-18 PM,February,week1
2019-03-09,Mandalay,Member,Male,Electronic accessories,4,5.1,107.14,Cash,4.76,5.1,6.8,15-18 PM,March,week2
2019-02-12,Yangon,Normal,Female,Electronic accessories,5,11.74,246.49,Ewallet,4.76,11.74,7.1,9-12 AM,February,week2
2019-02-07,Yangon,Normal,Male,Food and beverages,10,21.6,453.5,Ewallet,4.76,21.6,8.2,15-18 PM,February,week1
2019-03-29,Yangon,Normal,Female,Health and beauty,10,35.69,749.49,Cash,4.76,35.69,5.7,18-21 PM,March,29-31
2019-01-15,Mandalay,Member,Female,Sports and travel,6,28.12,590.44,Cash,4.76,28.12,4.5,15-18 PM,January,week3
2019-03-11,Yangon,Member,Female,Health and beauty,7,24.13,506.64,Credit card,4.76,24.13,4.6,9-12 AM,March,week2
2019-01-01,Yangon,Normal,Male,Sports and travel,6,21.78,457.44,Credit card,4.76,21.78,6.9,9-12 AM,January,week1
2019-01-21,Yangon,Normal,Male,Food and beverages,3,8.2,172.21,Credit card,4.76,8.2,8.6,15-18 PM,January,week3
2019-03-11,Mandalay,Normal,Female,Home and lifestyle,2,4.03,84.63,Ewallet,4.76,4.03,4.4,15-18 PM,March,week2
2019-02-25,Naypyitaw,Member,Male,Electronic accessories,5,21.51,451.71,Ewallet,4.76,21.51,4.8,9-12 AM,February,week4
2019-03-05,Mandalay,Normal,Male,Health and beauty,3,13.2,277.14,Ewallet,4.76,13.2,5.1,9-12 AM,March,week1
2019-03-15,Mandalay,Normal,Male,Home and lifestyle,2,3.32,69.72,Credit card,4.76,3.32,4.4,9-12 AM,March,week3
2019-02-17,Yangon,Normal,Male,Electronic accessories,5,8.64,181.44,Ewallet,4.76,8.64,9.9,9-12 AM,February,week3
